key_disp,resp_disp,key_inp,trialOrderFile,str_name,str_familiarity,str_valence,str_block,key_correct,loop_checkKeyMap.thisRepN,loop_checkKeyMap.thisTrialN,loop_checkKeyMap.thisN,loop_checkKeyMap.thisIndex,loop_block.thisRepN,loop_block.thisTrialN,loop_block.thisN,loop_block.thisIndex,loop_trials.thisRepN,loop_trials.thisTrialN,loop_trials.thisN,loop_trials.thisIndex,time_expBegin,txt_checkFiles_start.started,txt_checkFiles_start.stopped,txt_checkFiles_end.started,txt_checkFiles_end.stopped,key_checkFilesCompleteAccept.keys,key_checkFilesCompleteAccept.rt,key_checkFilesCompleteAccept.started,key_checkFilesCompleteAccept.stopped,txt_resFileClashWarn.started,txt_resFileClashWarn.stopped,key_resp_resClash.keys,key_resp_resClash.started,key_resp_resClash.stopped,str_keyInst.started,str_keyInst.stopped,key_startTask.keys,key_startTask.rt,key_startTask.started,key_startTask.stopped,txt_checkKeyMap.started,txt_checkKeyMap.stopped,key_resp_checkKeyMap.keys,key_resp_checkKeyMap.rt,key_resp_checkKeyMap.started,key_resp_checkKeyMap.stopped,text_checkKeyMapComplete.started,text_checkKeyMapComplete.stopped,key_beginTrials.keys,key_beginTrials.rt,key_beginTrials.started,key_beginTrials.stopped,text_getReady.started,text_getReady.stopped,str_fixationcross.started,str_fixationcross.stopped,im_trialWords.started,im_trialWords.stopped,time_trialBegin,key_respTrial.keys,key_respTrial.corr,key_respTrial.rt,key_respTrial.started,key_respTrial.stopped,time_trialEnd,Study Code,Participant ID,Researcher Name,Research Visit Number,Task Version Number,date,expName,psychopyVersion,frameRate,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Corajoso,Novel,positive,1,0,,,,,0,0,0,0,0,27,27,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.97400879999623,137.47394199995324,137.45677859999705,137.95693920005579,127.60704129992519,None,0,,137.45677859999705,136.97400879999623,131.59099469997454,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Interessante,Familiar,positive,1,1,,,,,0,0,0,0,0,28,28,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.95690410002135,141.45680809998885,141.44043920002878,141.9405544999754,131.5915063000284,None,0,,141.44043920002878,140.95690410002135,135.57294959994033,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Agradecido,Familiar,positive,1,1,,,,,0,0,0,0,0,29,29,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.94016250001732,145.440261599957,145.42372730001807,145.92398630001117,135.57360539992806,None,0,,145.42372730001807,144.94016250001732,139.55500249995384,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Mentiroso,Novel,negative,1,0,,,,,0,0,0,0,0,30,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.92350360006094,149.4237486999482,149.4068213000428,149.90684930002317,139.5554152999539,None,0,,149.4068213000428,148.92350360006094,143.53997149993666,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Aborrecido,Novel,negative,1,0,,,,,0,0,0,0,0,31,31,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.90698339999653,153.40701720002107,153.3903099000454,153.890219300054,143.54062769992743,None,0,,153.3903099000454,152.90698339999653,147.52279009995982,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Cordial,Novel,positive,1,0,,,,,0,0,0,0,0,32,32,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.89022950001527,157.39013529999647,157.3732642000541,157.87393110000994,147.52334730001166,None,0,,157.3732642000541,156.89022950001527,151.50633689993992,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Desonesto,Familiar,negative,1,1,,,,,0,0,0,0,0,33,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.8737209000392,161.37391239998396,161.35660780000035,161.85671690001618,151.50685220002197,None,0,,161.35660780000035,160.8737209000392,155.49013099994045,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Sociável,Familiar,positive,1,1,,,,,0,0,0,0,0,34,34,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.85664420004468,165.35663779999595,165.33973230002448,165.8399070999585,155.49086399993394,None,0,,165.33973230002448,164.85664420004468,159.4733414000366,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Snob,Novel,negative,1,0,,,,,0,0,0,0,0,35,35,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.83964829996694,169.33993290003855,169.32332880003378,169.82351849996485,159.47392279992346,None,0,,169.32332880003378,168.83964829996694,163.4563163999701,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Generoso,Novel,positive,1,0,,,,,0,0,0,0,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.82365070004016,173.32305380003527,173.306389400037,173.80669460003264,163.45696229999885,None,0,,173.306389400037,172.82365070004016,167.4396760999225,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Mau,Novel,negative,1,0,,,,,0,0,0,0,0,37,37,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.80657420004718,177.3066021000268,177.2898133000126,177.7899401000468,167.44041759998072,None,0,,177.2898133000126,176.80657420004718,171.4212178000016,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Amável,Familiar,positive,1,1,,,,,0,0,0,0,0,38,38,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.78935049998108,181.28958099999,181.27317729999777,181.77352150005754,171.4213894000277,None,0,,181.27317729999777,180.78935049998108,175.40630879998207,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
,,,stimControl/trialOrder_ver-1_block-1.xlsx,Compreensivo,Familiar,positive,1,1,,,,,0,0,0,0,0,39,39,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.77321160002612,185.27345670002978,185.25616930006072,185.7565802000463,175.4068495000247,None,0,,185.25616930006072,184.77321160002612,179.38934759993572,1,1,1,1,1,2024_Aug_02_1927,EMEM_140222,2021.2.3,60.0284775029457,
